,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
255,255,262,D,"The forest experienced a cold winter, where is it located?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['earth', 'south america', 'amazon basin', 'temperate zone',
       'national park'], dtype=object)}",earth,south america,amazon basin,temperate zone,,"Question: The forest experienced a cold winter, where is it located? (A) earth (B) south america (C) amazon basin (D) temperate zone. 
The correct response is: "," (D) temperate zone 
The temperate zone is the region between the tropical and polar circles, and within it, the seasons are mild and warm, and the forest will experience a cold winter, so it is likely located in: (D) temper"
256,256,873,D,Why do people who are dying receive social security payments?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rejuvenation', 'born again', 'no longer exist', 'unable to work',
       'change of color'], dtype=object)}",rejuvenation,born again,no longer exist,unable to work,,"Question: Why do people who are dying receive social security payments? (A) rejuvenation (B) born again (C) no longer exist (D) unable to work. 
The correct response is: "," (D) unable to work 
The payments are made to the deceased because they are unable to work  (A) rejuvenation 
The payments are made to the deceased because they are unable to work  (D)"
257,257,1082,D,What emotion leads to punching?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fists', 'hitting', 'boxing gloves', 'anger', 'hands'],
      dtype=object)}",fists,hitting,boxing gloves,anger,,"Question: What emotion leads to punching? (A) fists (B) hitting (C) boxing gloves (D) anger. 
The correct response is: "," (D) anger 
The correct response is:  (D) anger 
The correct response is:  (D) anger 
The correct response is:  (D) anger 
The correct response is:  (D) anger 
The correct response is:"
258,258,453,C,"If I put in my key and open a hinged door, where am I likely entering?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['kitchen', 'safe', 'own house', 'building', 'pantry'], dtype=object)}",kitchen,safe,own house,building,,"Question: If I put in my key and open a hinged door, where am I likely entering? (A) kitchen (B) safe (C) own house (D) building. 
The correct response is: "," (D) building  
The door I am likely entering is: (D) building 
The door is opening to: (D) building 
The key I am using is: (D) building 
The door is made of"
259,259,179,B,"If chewing food is difficult for you, what is a possible reason?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['broken jaw', 'sore mouth', 'eating', 'good digestion',
       'avoiding choking'], dtype=object)}",broken jaw,sore mouth,eating,good digestion,,"Question: If chewing food is difficult for you, what is a possible reason? (A) broken jaw (B) sore mouth (C) eating (D) good digestion. 
The correct response is: "," (B) sore mouth  
The ability to eat is tied to the ability to: (A) breathe (B) think (C) swallow (D) taste. 
The correct response is: (C)"
260,260,129,D,Where could you find hundreds of thousands of home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['field', 'neighborhood', 'star can', 'city or town',
       'apartment building'], dtype=object)}",field,neighborhood,star can,city or town,,"Question: Where could you find hundreds of thousands of home? (A) field (B) neighborhood (C) star can (D) city or town. 
The correct response is: "," (B) neighborhood  
The number of homes in a neighborhood can be in the hundreds, thousands, or even millions, depending on the size of the neighborhood 
The number of homes in a star cluster is unlikely to be in the millions or even thousands, as star clusters are relatively"
261,261,621,C,"I picked from an apple tree outside of Fort Wayne, where am I?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['woods', 'illinois', 'indiana', 'washington state', 'tampa'],
      dtype=object)}",woods,illinois,indiana,washington state,,"Question: I picked from an apple tree outside of Fort Wayne, where am I? (A) woods (B) illinois (C) indiana (D) washington state. 
The correct response is: "," (C) indiana  
The apple tree is a domesticated tree, and most domesticated trees are where their crop was originally developed, which is in the apple tree's case, in the Middle East. However, apple trees were domestic"
262,262,896,B,What do young boys do on the ice in the winter?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ski', 'play hockey', 'summer', 'knit', 'warm'], dtype=object)}",ski,play hockey,summer,knit,,"Question: What do young boys do on the ice in the winter? (A) ski (B) play hockey (C) summer (D) knit. 
The correct response is: "," (B) play hockey  
The correct response is: (B) play hockey 
The correct response is: (B) play hockey 
The correct response is: (B) play hockey 
The correct response is: (B) play hockey 
The correct"
263,263,1094,D,When someone has little knowledge and is judging someone they are considered what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['objectivity', 'knowing yourself', 'experience', 'ignorance',
       'introduction'], dtype=object)}",objectivity,knowing yourself,experience,ignorance,,"Question: When someone has little knowledge and is judging someone they are considered what? (A) objectivity (B) knowing yourself (C) experience (D) ignorance. 
The correct response is: "," (D) ignorance 
The person lacks knowledge and is judging another, so they are considered ignorant 
The correct response is: (D) ignorance 
The person lacks knowledge and is judging another, so they are considered ignor"
264,264,30,B,If you are prone to postpone work what will you have to do in order to finish on time?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eat', 'hasten', 'antedate', 'bring forward', 'advance'],
      dtype=object)}",eat,hasten,antedate,bring forward,,"Question: If you are prone to postpone work what will you have to do in order to finish on time? (A) eat (B) hasten (C) antedate (D) bring forward. 
The correct response is: "," (D) bring forward 
The correct response is:  (D) bring forward 
The correct response is:  (D) bring forward 
The correct response is:  (D) bring forward "
265,265,1050,A,What animal is known for being a follower?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['goat', 'expensive', 'lion', 'wolf', 'meadow'], dtype=object)}",goat,expensive,lion,wolf,,"Question: What animal is known for being a follower? (A) goat (B) expensive (C) lion (D) wolf. 
The correct response is: "," (C) lion  
The lion is a predator that relies on other animals to hunt and bring food back to their pride. They are known to be followers of the herd, and they rely on the herd to survive 
The herb"
266,266,153,D,In order to learn to program from another person you can do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['learn how to', 'have a friend', 'knowledge', 'take class',
       'have computer'], dtype=object)}",learn how to,have a friend,knowledge,take class,,"Question: In order to learn to program from another person you can do what? (A) learn how to (B) have a friend (C) knowledge (D) take class. 
The correct response is: "," (D) take class 
The teacher is able to impart knowledge to the student through:  (D) take class 
The teacher is able to impart knowledge to the student through:  (A) learn how to 
The teacher is"
267,267,321,A,Sarah dropped the marble because she wanted to do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['game', 'pouch', 'home', 'store', 'jar'], dtype=object)}",game,pouch,home,store,,"Question: Sarah dropped the marble because she wanted to do what? (A) game (B) pouch (C) home (D) store. 
The correct response is: "," (A) game  
The marble was made of marble, which is a type of rock. Rock is hard, so it is unlikely that dropping it would cause it to do anything, let alone do what Sarah wanted it to do. Therefore, the correct response is:"
268,268,87,B,"If you're remembering something, it's because of your what of it to begin with?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['knowledge', 'knowing', 'forgetful', 'pleasure', 'depression'],
      dtype=object)}",knowledge,knowing,forgetful,pleasure,,"Question: If you're remembering something, it's because of your what of it to begin with? (A) knowledge (B) knowing (C) forgetful (D) pleasure. 
The correct response is: "," (A) knowledge 
The correct response is: (A) knowledge 
The correct response is: (A) knowledge 
The correct response is: (A) knowledge 
The correct response is: (A) knowledge 
"
269,269,893,D,What is someone operating a vehicle likely to be accused of after becoming inebriated?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['punish', 'arrest', 'automobile accidents', 'drunk driving',
       'talking nonsense'], dtype=object)}",punish,arrest,automobile accidents,drunk driving,,"Question: What is someone operating a vehicle likely to be accused of after becoming inebriated? (A) punish (B) arrest (C) automobile accidents (D) drunk driving. 
The correct response is: "," (D) drunk driving  
The person operating the vehicle be accused of after becoming intoxicated is likely to be accused of: Drunk Driving 
This is correct because drunk driving is the act of driving"
270,270,800,D,What might happen if someone is not losing weight?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['loose skin', 'beauty', 'miss universe', 'death', 'healthier'],
      dtype=object)}",loose skin,beauty,miss universe,death,,"Question: What might happen if someone is not losing weight? (A) loose skin (B) beauty (C) miss universe (D) death. 
The correct response is: "," (A) loose skin  
The weight of an individual is something that can impact their health, and if someone is not losing weight, they might experience:  (A) loose skin 
This is correct because: When someone gains weight, it is likely that their body will store"
271,271,627,B,"The town house went right to the curb, a slot effectively made a mailbox of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['apartment building', 'front door', 'back door', 'street corner',
       'porch'], dtype=object)}",apartment building,front door,back door,street corner,,"Question: The town house went right to the curb, a slot effectively made a mailbox of the what? (A) apartment building (B) front door (C) back door (D) street corner. 
The correct response is: "," (D) street corner  
The correct response is: (D) street corner 
The correct response is: (D) street corner 
The correct response is: (D) street corner 
The correct"
272,272,1220,C,What is another name for a disk for storing information?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['computer store', 'computer to store data', 'computer hard drive',
       'cd player', 'usb mouse'], dtype=object)}",computer store,computer to store data,computer hard drive,cd player,,"Question: What is another name for a disk for storing information? (A) computer store (B) computer to store data (C) computer hard drive (D) cd player. 
The correct response is: "," (C) computer hard drive  
The item known as a hard drive is a disk for storing information. 
The other options are:
A) computer store  - This is a retail store that sells computers, not a type of storage device"
273,273,372,B,What is the most famous constellation out of earth?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['one moon', 'milky way', ""god's creation"", 'stars', 'universe'],
      dtype=object)}",one moon,milky way,god's creation,stars,,"Question: What is the most famous constellation out of earth? (A) one moon (B) milky way (C) god's creation (D) stars. 
The correct response is: "," (C) god's creation  
The Big Dipper is one of the most famous constellations, but it is not the most famous. The most famous is Orion 
The correct response is: (C) god's creation 
"
274,274,194,C,What is the primary purpose of cars?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cost money', 'slow down', 'move people', 'turn right',
       'get girls'], dtype=object)}",cost money,slow down,move people,turn right,,"Question: What is the primary purpose of cars? (A) cost money (B) slow down (C) move people (D) turn right. 
The correct response is: "," (C) move people  
The primary purpose of cars is to move people from one place to another  (A) cost money is incorrect because cars cost money but are not a type of money (B) slow down is incorrect because cars are designed to speed up not slow down (D"
275,275,333,A,What is happening while he's playing basketball for such a long time?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sweating', 'pain', 'having fun', 'medium', 'knee injury'],
      dtype=object)}",sweating,pain,having fun,medium,,"Question: What is happening while he's playing basketball for such a long time? (A) sweating (B) pain (C) having fun (D) medium. 
The correct response is: "," (A) sweating  
The physical activity he is doing causes him to sweat, which is a natural response of the body to regulate its temperature during physical activity. 
This is a correct statement: While he's playing basketball for such a long"
276,276,550,A,Where could you go to between 1000 and 10000 restaurant?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['big city', 'town', 'small town', 'canada', 'yellow pages'],
      dtype=object)}",big city,town,small town,canada,,"Question: Where could you go to between 1000 and 10000 restaurant? (A) big city (B) town (C) small town (D) canada. 
The correct response is: ","2) town  
The number of restaurants in a town or city is directly proportional to the size of the town or city  (A) and (B) (C) and (D) are all incorrect 
The correct"
277,277,822,C,Where off the eastern U.S. would you find an anemone?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['flower bed', 'tide pool', 'florida keys', 'coral sea', 'aquarium'],
      dtype=object)}",flower bed,tide pool,florida keys,coral sea,,"Question: Where off the eastern U.S. would you find an anemone? (A) flower bed (B) tide pool (C) florida keys (D) coral sea. 
The correct response is: ","2) tide pool  
The anemone lives in a tide pool, which is a pool of seawater that is trapped on a rocky coastline when the tide comes in. When the tide goes"
278,278,75,B,"If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['irritability', 'depression', 'getting out of bed', 'happiness',
       'discomfort'], dtype=object)}",irritability,depression,getting out of bed,happiness,,"Question: If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause? (A) irritability (B) depression (C) getting out of bed (D) happiness. 
The correct response is: "," (A) irritability  
The cause of frequent waking is likely to be: stress or anxiety 
The inability to fall asleep or stay asleep is often caused by:"
279,279,559,A,"The teacher knew her students understood division, what was she hoping they would learn next?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['multiplication', 'multiply', 'putting together', 'unity',
       'pay debts'], dtype=object)}",multiplication,multiply,putting together,unity,,"Question: The teacher knew her students understood division, what was she hoping they would learn next? (A) multiplication (B) multiply (C) putting together (D) unity. 
The correct response is: "," (A) multiplication  
The teacher wanted her students to learn: (A) multiplication 
The teacher hoped her students would understand: (A) multiplication 
The teacher wanted her students to get it: (A) multiplication 
The teacher was hoping"
280,280,96,B,Billy set aside a block of time for having fun after work. Why might he do this?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['happiness', 'stress relief', 'pleasure', 'ocean', 'may laugh'],
      dtype=object)}",happiness,stress relief,pleasure,ocean,,"Question: Billy set aside a block of time for having fun after work. Why might he do this? (A) happiness (B) stress relief (C) pleasure (D) ocean. 
The correct response is: "," (B) stress relief  
Billy might do this because he wants to avoid excessive stress after work  (A) happiness (C) pleasure (D) ocean 
The correct response is:  (B) stress relief  
"
281,281,1078,A,"The merchant wanted to open in a high-traffic space, where did he rent space?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mall', 'business', 'store', 'sale', 'sell goods'], dtype=object)}",mall,business,store,sale,,"Question: The merchant wanted to open in a high-traffic space, where did he rent space? (A) mall (B) business (C) store (D) sale. 
The correct response is: "," (B) business  
The merchant wanted to open in a high-traffic space, so he rented a space in a busy commercial area, where businesses sell products:  (B) business 
The correct response is:  ("
282,282,19,D,Where do adults use glue sticks?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['classroom', 'desk drawer', 'at school', 'office',
       'kitchen drawer'], dtype=object)}",classroom,desk drawer,at school,office,,"Question: Where do adults use glue sticks? (A) classroom (B) desk drawer (C) at school (D) office. 
The correct response is: ","2) desk drawer 
The glue stick is used by adults in a classroom for elementary school tasks such as gluing paper to paper or paper to cardboard. 
The glue stick is a tube of adhesive that is used to stick"
283,283,883,A,What probably has a lot of dust in the back?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['closet', 'door', 'corner', 'shelf', 'library'], dtype=object)}",closet,door,corner,shelf,,"Question: What probably has a lot of dust in the back? (A) closet (B) door (C) corner (D) shelf. 
The correct response is: "," (A) closet 
The closet is most likely to have dust in the back because it is where clothes are kept, and clothes tend to accumulate dust over time  (B) door (C) corner (D) shelf. 
The correct response is: "
284,284,855,A,Why would a woman kill a stranger she met in a dark alley?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['being raped', 'get rid of', ""they didn't know the passcode"",
       'get revenge', 'were evil'], dtype=object)}",being raped,get rid of,they didn't know the passcode,get revenge,,"Question: Why would a woman kill a stranger she met in a dark alley? (A) being raped (B) get rid of (C) they didn't know the passcode (D) get revenge. 
The correct response is: "," (B) being raped  
The woman did not kill the stranger because: she wanted to get rid of him 
The correct response is: (A) being raped 
The woman did not"
285,285,1000,A,"The person signed up for home insurance, what is he seeking?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['financial security', 'live well', 'good relationship',
       'compliments', 'discounted furniture'], dtype=object)}",financial security,live well,good relationship,compliments,,"Question: The person signed up for home insurance, what is he seeking? (A) financial security (B) live well (C) good relationship (D) compliments. 
The correct response is: "," (A) financial security  
The person is seeking: to have a sense of security in the event of unexpected losses or damages to their home and possessions 
The insurance provides: a financial safety net in the event of unexpected events 
The"
286,286,375,A,"If a court case is dismissed after hearing testimony, what would be a likely cause?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['change of heart', 'anguish', 'anger', 'boredom', 'anxiety'],
      dtype=object)}",change of heart,anguish,anger,boredom,,"Question: If a court case is dismissed after hearing testimony, what would be a likely cause? (A) change of heart (B) anguish (C) anger (D) boredom. 
The correct response is: "," (D) boredom 
The case would be dismissed due to lack of interest or importance, which is boredom 
The other options are:  (A) change of heart (B) anguish"
287,287,911,D,Where is a good place to set a cup of coffee while relaxing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['coffee shop', 'kitchen', 'hand', 'table', 'office'], dtype=object)}",coffee shop,kitchen,hand,table,,"Question: Where is a good place to set a cup of coffee while relaxing? (A) coffee shop (B) kitchen (C) hand (D) table. 
The correct response is: "," (D) table 
The reason is: tables are made for holding objects such as food and drink 
The correct response is:  (D) table 
The reason is: tables are made for holding objects such as food and drink 
The correct response is"
288,288,155,D,What part of plants is pretty?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dirt', 'no neurons in', 'millions of cells', 'flowers on',
       'roots'], dtype=object)}",dirt,no neurons in,millions of cells,flowers on,,"Question: What part of plants is pretty? (A) dirt (B) no neurons in (C) millions of cells (D) flowers on. 
The correct response is: "," (C) millions of cells  
The plant part that is pretty is: (C) millions of cells 
The other plant parts are: (A) dirt (B) no neurons in (D) flowers on 
The correct response is: (C)"
289,289,1151,B,Traveling from new place to new place is likely to be what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['going somewhere', 'exhilarating', 'diarrhea', 'relocation',
       'exhausting'], dtype=object)}",going somewhere,exhilarating,diarrhea,relocation,,"Question: Traveling from new place to new place is likely to be what? (A) going somewhere (B) exhilarating (C) diarrhea (D) relocation. 
The correct response is: "," (D) relocation 
The movement of organisms from one place to another is called what? (A) migration (B) transportation (C) relocation (D) traveling. 
The correct response is: ("
290,290,224,A,"Joan wants to cook a potato, where should she place it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['boiling water', 'paper bag', 'restaurants', 'underground',
       'cupboard'], dtype=object)}",boiling water,paper bag,restaurants,underground,,"Question: Joan wants to cook a potato, where should she place it? (A) boiling water (B) paper bag (C) restaurants (D) underground. 
The correct response is: "," (A) boiling water  
The potato should be cooked in boiling water  (A) 
The other options are: (B) paper bag (C) restaurants (D) underground 
The correct response is:"
291,291,181,C,Where do you find the most amount of leafs?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['floral arrangement', 'ground', 'forrest', 'field', 'compost pile'],
      dtype=object)}",floral arrangement,ground,forrest,field,,"Question: Where do you find the most amount of leafs? (A) floral arrangement (B) ground (C) forrest (D) field. 
The correct response is: "," (C) forrest 
The forrest is where you find the most amount of leafs due to the large amount of trees  (A) floral arrangement (B) ground (D) field 
The correct response is: (C) forrest 
The for"
292,292,396,D,Where does one usually keep literature?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['books and magazines', 'own home', 'kitchen', 'shelf', 'meeting'],
      dtype=object)}",books and magazines,own home,kitchen,shelf,,"Question: Where does one usually keep literature? (A) books and magazines (B) own home (C) kitchen (D) shelf. 
The correct response is: "," (A) books and magazines  
The item in the list that is most likely to be considered a type of habitat for a human is: (A) books and magazines 
The other items in the list are all likely to be considered parts of the habitat of"
293,293,172,A,A supermarket is uncommon in what type of collection of shops?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['strip mall', 'city or town', 'shoppingcentre', 'boutique',
       'vermont'], dtype=object)}",strip mall,city or town,shoppingcentre,boutique,,"Question: A supermarket is uncommon in what type of collection of shops? (A) strip mall (B) city or town (C) shoppingcentre (D) boutique. 
The correct response is: "," (A) strip mall  
The supermarket is unlikely to be found in a strip mall because a strip mall is a collection of small stores that are usually on the ground floor of a strip of land with multiple stores,"
294,294,235,D,"The lady would eat and eat, and because of mental issues would then make herself what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wash dishes', 'throwing up', 'drinking', 'throw up',
       'turn inside out'], dtype=object)}",wash dishes,throwing up,drinking,throw up,,"Question: The lady would eat and eat, and because of mental issues would then make herself what? (A) wash dishes (B) throwing up (C) drinking (D) throw up. 
The correct response is: "," (D) throw up  
The lady would eat and eat, and because of mental issues would then make herself vomit  (D) throw up 
The correct response is: (D) throw up 
The lady"
295,295,1086,D,"Dance can be elegant and specific, or you can just have fun and what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['falling down', 'trip', 'fall down', 'move around', 'celebrate'],
      dtype=object)}",falling down,trip,fall down,move around,,"Question: Dance can be elegant and specific, or you can just have fun and what? (A) falling down (B) trip (C) fall down (D) move around. 
The correct response is: "," (D) move around 
The dance can also be: (A) elegant and specific, or just have fun and move around 
The correct response is: (D) move around 
The dance can also be: (A) elegant and specific"
296,296,1118,D,How would you express information if you do not have a pen or pencil?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['may disagree', 'close mouth', 'write down', 'talk', 'eyes'],
      dtype=object)}",may disagree,close mouth,write down,talk,,"Question: How would you express information if you do not have a pen or pencil? (A) may disagree (B) close mouth (C) write down (D) talk. 
The correct response is: "," (D) talk 
The intended response was: (D) talk 
The correct response is: (D) talk 
The intended response was: (D) talk 
The correct response is: (D) talk 
The"
297,297,0,A,"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bank', 'library', 'department store', 'mall', 'new york'],
      dtype=object)}",bank,library,department store,mall,,"Question: A revolving door is convenient for two direction travel, but it also serves as a security measure at a what? (A) bank (B) library (C) department store (D) mall. 
The correct response is: "," (C) department store 
The mall is a large retail space that contains many stores, so it does not have a security measure like a revolving door. 
The correct response is: (C) department store"
298,298,552,D,Where is a statute found on a platform?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['below', 'arena', 'concert hall', 'museum', 'building'],
      dtype=object)}",below,arena,concert hall,museum,,"Question: Where is a statute found on a platform? (A) below (B) arena (C) concert hall (D) museum. 
The correct response is: ","2) arena  
The statute is found below the ground on a platform, which is called a pedestal 
The pedestal is a raised platform on which a statue is placed and usually made of stone or cement 
The statue is placed on top of the"
299,299,277,C,The old style pop ups literally let you see the story when you did what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['giggle', 'visualize', 'open book', 'reading', 'go to movies'],
      dtype=object)}",giggle,visualize,open book,reading,,"Question: The old style pop ups literally let you see the story when you did what? (A) giggle (B) visualize (C) open book (D) reading. 
The correct response is: "," (C) open book  
The old style pop ups literally let you see the story when you did: (C) open book 
The new style pop ups let you see the story when you: (A) giggle 
The new style"
300,300,456,A,"They wanted to recognize his accomplishment, where should they put his name?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['certificate', 'directory', 'phone book', 'lineup', 'roster'],
      dtype=object)}",certificate,directory,phone book,lineup,,"Question: They wanted to recognize his accomplishment, where should they put his name? (A) certificate (B) directory (C) phone book (D) lineup. 
The correct response is: "," (A) certificate  
The name of the correct response just before it is: a piece of paper 
The name of the item being described is: a certificate 
This item is: awarded for achievement 
This item is: given for recognition "
301,301,222,A,"The car was going from Alabama to New York, what was its goal?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['head north', 'speed up', 'heading north', 'go fast',
       'headed south'], dtype=object)}",head north,speed up,heading north,go fast,,"Question: The car was going from Alabama to New York, what was its goal? (A) head north (B) speed up (C) heading north (D) go fast. 
The correct response is: "," (A) head north  
The car's goal was: to head north  (A) head north 
The car was going from Alabama to New York, what was its goal?  (A) head north 
The car was going"
302,302,1101,A,"Where can you find the meaning of ""ficus""?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dictionary', 'apartment', 'libary', 'middle east', 'arboretum'],
      dtype=object)}",dictionary,apartment,libary,middle east,,"Question: Where can you find the meaning of ""ficus""? (A) dictionary (B) apartment (C) libary (D) middle east. 
The correct response is: "," (A) dictionary 
The meaning of ""ficus"" can be found in a  (A) dictionary 
The meaning of ""ficus"" is: a plant with thick, fleshy leaves  (A) a plant with thick, fleshy leaves 
"
303,303,602,D,What can you use to store a book while traveling?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['library of congress', 'pocket', 'backpack', 'suitcase',
       'synagogue'], dtype=object)}",library of congress,pocket,backpack,suitcase,,"Question: What can you use to store a book while traveling? (A) library of congress (B) pocket (C) backpack (D) suitcase. 
The correct response is: "," (C) backpack 
The item is being compressed to fit in: (B) pocket 
The item is being protected from damage in: (D) suitcase 
The item is being transported in: (C) backpack 
The"
304,304,169,C,"When you fail to finish something, you failed at doing what to it","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['winning', 'passing', 'completing', 'do well', 'succeeding'],
      dtype=object)}",winning,passing,completing,do well,,"Question: When you fail to finish something, you failed at doing what to it (A) winning (B) passing (C) completing (D) do well. 
The correct response is: "," (C) completing 
The failure to complete something means you failed at doing what it requires to pass it, which means you failed at completing it. 
The correct response is: (C) completing 
The correct response is: (C) comple"
305,305,342,B,"Pens, computers, text books and paper clips can all be found where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['desktop', 'university', 'drawer', 'table', 'work'], dtype=object)}",desktop,university,drawer,table,,"Question: Pens, computers, text books and paper clips can all be found where? (A) desktop (B) university (C) drawer (D) table. 
The correct response is: "," (A) desktop 
The item is most likely to be found: on a table or shelf 
The item is unlikely to be found: in a drawer 
The item is unlikely to be found: in a computer 
The item is unlikely"
306,306,438,D,Where could you find hundreds of beauty salon?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['clerk', 'mall', 'strip mall', 'city', 'neighborhood'],
      dtype=object)}",clerk,mall,strip mall,city,,"Question: Where could you find hundreds of beauty salon? (A) clerk (B) mall (C) strip mall (D) city. 
The correct response is: "," (C) strip mall 
The retailing or leasing of space in a strip mall is usually done by a management company that owns the mall and leases the space to each store or restaurant. 
The number of beauty salons in a strip m"
307,307,205,A,Who might wear dark glasses indoors?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['blind person', 'glove box', 'movie studio', 'ray charles',
       'glove compartment'], dtype=object)}",blind person,glove box,movie studio,ray charles,,"Question: Who might wear dark glasses indoors? (A) blind person (B) glove box (C) movie studio (D) ray charles. 
The correct response is: "," (C) movie studio  
The color of sunglasses can be used to protect the eyes from  (A) sunlight (B) air (C) water (D) dust. 
The correct response is:  (A) sunlight "
308,308,1093,C,What is likely to have a better school cafeteria?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['high school', 'canteen', 'polytechnic', 'large room',
       'all kinds of schools'], dtype=object)}",high school,canteen,polytechnic,large room,,"Question: What is likely to have a better school cafeteria? (A) high school (B) canteen (C) polytechnic (D) large room. 
The correct response is: "," (C) polytechnic 
The reason is: They specialize in teaching vocational curricula, which may include culinary arts 
The correct response is:  (A) high school 
The reason is: High schools may have better fund"
309,309,206,B,Where would stones not be arranged in a path?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['quarries', 'field', 'park', 'bridge', 'made from rocks'],
      dtype=object)}",quarries,field,park,bridge,,"Question: Where would stones not be arranged in a path? (A) quarries (B) field (C) park (D) bridge. 
The correct response is: "," (B) field 
The stones in a path are arranged in a specific way for walking purposes. In a field, the stones are not arranged in a path, as they are in nature and not arranged at all, as they are just scattered all over the field  (A) quarries ("
310,310,539,B,What are you getting from you boss at the end of the week?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['asking for', 'money', 'food', 'work', 'energy'], dtype=object)}",asking for,money,food,work,,"Question: What are you getting from you boss at the end of the week? (A) asking for (B) money (C) food (D) work. 
The correct response is: "," (B) money  
The employee is getting: money 
The employer is giving: pay 
The employer is getting: work 
The employee is giving: labor 
The above are all correct: work is being exchanged for pay 
"
